Sales_Person,Country,Product,Date,Amount,Boxes_Shipped,Year,Month,Day,Day_Name,Day_of_Week,Week,Quarter,Weekend,Revenue_per_Box,Product_ID,Country_ID,Salesperson_ID,Lag_1,Lag_7,Rolling_7,Rolling_30
Gunar Cockshoot,Canada,50% Dark Bites,2022-01-04,3024,23,2022,1,4,Tuesday,1,1,1,0,131.47826086956522,0,1,10,0.0,0.0,0.0,0.0
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250,293,2022,1,12,Wednesday,2,2,1,0,17.918088737201366,0,4,12,23.0,0.0,0.0,0.0
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737,160,2022,1,13,Thursday,3,2,1,0,60.85625,0,5,23,293.0,0.0,0.0,0.0
Gunar Cockshoot,UK,50% Dark Bites,2022-01-13,2107,121,2022,1,13,Thursday,3,2,1,0,17.41322314049587,0,4,10,160.0,0.0,0.0,0.0
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194,418,2022,1,14,Friday,4,2,1,0,12.425837320574162,0,0,13,121.0,0.0,0.0,0.0
Karlen McCaffrey,Australia,50% Dark Bites,2022-01-17,6678,708,2022,1,17,Monday,0,3,1,0,9.432203389830509,0,0,15,418.0,0.0,0.0,0.0
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765,85,2022,1,27,Thursday,3,4,1,0,114.88235294117646,0,3,6,708.0,0.0,258.2857142857143,0.0
Barr Faughny,UK,50% Dark Bites,2022-01-28,581,65,2022,1,28,Friday,4,4,1,0,8.938461538461539,0,4,1,85.0,23.0,264.2857142857143,0.0
Andria Kimpton,India,50% Dark Bites,2022-01-31,13482,15,2022,1,31,Monday,0,5,1,0,898.8,0,2,0,65.0,293.0,224.57142857142858,0.0
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499,271,2022,2,9,Wednesday,2,6,1,0,9.22140221402214,0,4,2,15.0,160.0,240.42857142857142,0.0
Roddy Speechley,USA,50% Dark Bites,2022-02-11,10458,316,2022,2,11,Friday,4,6,1,0,33.09493670886076,0,5,22,271.0,121.0,268.2857142857143,0.0
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150,68,2022,2,16,Wednesday,2,7,1,0,149.26470588235293,0,4,21,316.0,418.0,218.28571428571428,0.0
Mallorie Waber,UK,50% Dark Bites,2022-02-21,5502,99,2022,2,21,Monday,0,8,1,0,55.57575757575758,0,4,18,68.0,708.0,131.28571428571428,0.0
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143,67,2022,2,21,Monday,0,8,1,0,46.91044776119403,0,4,14,99.0,85.0,128.71428571428572,0.0
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,3374,202,2022,3,2,Wednesday,2,9,1,0,16.702970297029704,0,3,0,67.0,65.0,148.28571428571428,0.0
Gunar Cockshoot,Australia,50% Dark Bites,2022-03-02,12271,116,2022,3,2,Wednesday,2,9,1,0,105.78448275862068,0,0,10,202.0,15.0,162.71428571428572,0.0
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687,100,2022,3,4,Friday,4,9,1,0,86.87,0,1,14,116.0,271.0,138.28571428571428,0.0
Curtice Advani,UK,50% Dark Bites,2022-03-08,3374,142,2022,3,8,Tuesday,1,10,1,0,23.760563380281692,0,4,6,100.0,316.0,113.42857142857143,0.0
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337,12,2022,3,14,Monday,0,11,1,0,694.75,0,2,22,142.0,68.0,105.42857142857143,0.0
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,3010,40,2022,3,22,Tuesday,1,12,1,0,75.25,0,0,21,12.0,99.0,97.0,0.0
Kelci Walkden,USA,50% Dark Bites,2022-03-23,6188,223,2022,3,23,Wednesday,2,12,1,0,27.748878923766817,0,5,16,40.0,67.0,119.28571428571429,0.0
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287,12,2022,4,1,Friday,4,13,2,0,607.25,0,0,7,223.0,202.0,92.14285714285714,0.0
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,3647,310,2022,4,6,Wednesday,2,14,2,0,11.764516129032257,0,4,15,12.0,116.0,119.85714285714286,0.0
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296,59,2022,4,13,Wednesday,2,15,2,0,38.91525423728814,0,5,9,310.0,100.0,114.0,0.0
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034,117,2022,4,14,Thursday,3,15,2,0,111.4017094017094,0,5,1,59.0,142.0,110.42857142857143,0.0
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298,313,2022,4,15,Friday,4,15,2,0,36.09584664536741,0,2,5,117.0,12.0,153.42857142857142,0.0
Wilone O'Kielt,USA,50% Dark Bites,2022-04-18,4501,131,2022,4,18,Monday,0,16,2,0,34.3587786259542,0,5,24,313.0,40.0,166.42857142857142,0.0
Mallorie Waber,USA,50% Dark Bites,2022-04-19,1736,13,2022,4,19,Tuesday,1,16,2,0,133.53846153846155,0,5,18,131.0,223.0,136.42857142857142,0.0
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990,59,2022,4,20,Wednesday,2,16,2,0,67.62711864406779,0,3,13,13.0,12.0,143.14285714285714,0.0
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721,151,2022,5,6,Friday,4,18,2,0,4.774834437086093,0,0,20,59.0,310.0,120.42857142857143,156.96666666666667
Roddy Speechley,New Zealand,50% Dark Bites,2022-05-09,4312,211,2022,5,9,Monday,0,19,2,0,20.436018957345972,0,3,22,151.0,59.0,142.14285714285714,163.23333333333332
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,3108,252,2022,5,12,Thursday,3,19,2,0,12.333333333333334,0,0,8,211.0,117.0,161.42857142857142,161.86666666666667
Van Tuxwell,Canada,50% Dark Bites,2022-05-12,13685,58,2022,5,12,Thursday,3,19,2,0,235.94827586206895,0,1,23,252.0,313.0,125.0,158.46666666666667
Van Tuxwell,India,50% Dark Bites,2022-05-13,5103,129,2022,5,13,Friday,4,19,2,0,39.55813953488372,0,2,23,58.0,131.0,124.71428571428571,158.73333333333332
Beverie Moffet,Australia,50% Dark Bites,2022-05-16,700,457,2022,5,16,Monday,0,20,2,0,1.5317286652078774,0,0,2,129.0,13.0,188.14285714285714,160.03333333333333
Mallorie Waber,India,50% Dark Bites,2022-05-31,588,139,2022,5,31,Tuesday,1,22,2,0,4.23021582733813,0,2,18,457.0,59.0,199.57142857142858,141.06666666666666
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438,227,2022,6,2,Thursday,3,22,2,0,19.550660792951543,0,0,0,139.0,151.0,210.42857142857142,145.8
Jan Morforth,Australia,50% Dark Bites,2022-06-14,3402,182,2022,6,14,Tuesday,1,24,2,0,18.692307692307693,0,0,12,227.0,211.0,206.28571428571428,149.7
Marney O'Breen,UK,50% Dark Bites,2022-06-14,2989,124,2022,6,14,Tuesday,1,24,2,0,24.10483870967742,0,4,19,182.0,252.0,188.0,153.33333333333334
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064,106,2022,6,15,Wednesday,2,24,2,0,10.037735849056604,0,5,19,124.0,58.0,194.85714285714286,147.83333333333334
Camilla Castle,USA,50% Dark Bites,2022-06-23,5908,301,2022,6,23,Thursday,3,25,2,0,19.627906976744185,0,5,4,106.0,129.0,219.42857142857142,147.33333333333334
Barr Faughny,New Zealand,50% Dark Bites,2022-06-23,4557,308,2022,6,23,Thursday,3,25,2,0,14.795454545454545,0,3,1,301.0,457.0,198.14285714285714,155.33333333333334
